i400sN1_1#039,,,,,
,,,,,
Time (s),Potential (V),,,,
0,-0.084875,,-0.084958,,
0.5,-0.085458,,,,
1,-0.085,,mean-,,-0.084958
1.5,-0.08525,,max-,,-0.082833
2,-0.084583,,min-,,-0.087833
2.5,-0.084667,,size of bar-,,0.0010625
3,-0.084042,,,,
3.5,-0.083292,,,,
4,-0.084458,,,,
4.5,-0.084833,,,,
5,-0.085125,,,,
5.5,-0.084167,,,,
6,-0.085167,,,,
6.5,-0.084958,,,,
7,-0.085208,,,,
7.5,-0.084208,,,,
8,-0.084917,,,,
8.5,-0.083875,,,,
9,-0.083792,,,,
9.5,-0.083833,,,,
10,-0.085,,,,
10.5,-0.084792,,,,
11,-0.085375,,,,
11.5,-0.08525,,,,
12,-0.085292,,,,
12.5,-0.08425,,,,
13,-0.084125,,,,
13.5,-0.084083,,,,
14,-0.084792,,,,
14.5,-0.085833,,,,
15,-0.086542,,,,
15.5,-0.086708,,,,
16,-0.085792,,,,
16.5,-0.086208,,,,
17,-0.084542,,,,
17.5,-0.084625,,,,
18,-0.084458,,,,
18.5,-0.085875,,,,
19,-0.086,,,,
19.5,-0.086,,,,
20,-0.0855,,,,
20.5,-0.084583,,,,
21,-0.084417,,,,
21.5,-0.084417,,,,
22,-0.085375,,,,
22.5,-0.08425,,,,
23,-0.085667,,,,
23.5,-0.084625,,,,
24,-0.084875,,,,
24.5,-0.083417,,,,
25,-0.084625,,,,
25.5,-0.085667,,,,
26,-0.085333,,,,
26.5,-0.085333,,,,
27,-0.083708,,,,
27.5,-0.084,,,,
28,-0.084,,,,
28.5,-0.0845,,,,
29,-0.0855,,,,
29.5,-0.085292,,,,
30,-0.085542,,,,
30.5,-0.084667,,,,
31,-0.084917,,,,
31.5,-0.084958,,,,
32,-0.085542,,,,
32.5,-0.084792,,,,
33,-0.084833,,,,
33.5,-0.085292,,,,
34,-0.085167,,,,
34.5,-0.086125,,,,
35,-0.085583,,,,
35.5,-0.085583,,,,
36,-0.084917,,,,
36.5,-0.084958,,,,
37,-0.085208,,,,
37.5,-0.085042,,,,
38,-0.084542,,,,
38.5,-0.08475,,,,
39,-0.084458,,,,
39.5,-0.084458,,,,
40,-0.083667,,,,
40.5,-0.083792,,,,
41,-0.08425,,,,
41.5,-0.0855,,,,
42,-0.086667,,,,
42.5,-0.086667,,,,
43,-0.086333,,,,
43.5,-0.085083,,,,
44,-0.084125,,,,
44.5,-0.084458,,,,
45,-0.0855,,,,
45.5,-0.0865,,,,
46,-0.08625,,,,
46.5,-0.08525,,,,
47,-0.08475,,,,
47.5,-0.084958,,,,
48,-0.086417,,,,
48.5,-0.086792,,,,
49,-0.087833,,,,
49.5,-0.0875,,,,
50,-0.087542,,,,
50.5,-0.085625,,,,
51,-0.084792,,,,
51.5,-0.084792,,,,
52,-0.084708,,,,
52.5,-0.085125,,,,
53,-0.085417,,,,
53.5,-0.086,,,,
54,-0.08575,,,,
54.5,-0.085208,,,,
55,-0.085458,,,,
55.5,-0.084625,,,,
56,-0.084083,,,,
56.5,-0.084167,,,,
57,-0.084375,,,,
57.5,-0.084583,,,,
58,-0.083458,,,,
58.5,-0.083208,,,,
59,-0.082833,,,,
59.5,-0.083667,,,,
60,-0.0855,,,,
