i400sN1_1#021,,,
,,,
Time,(s),Potential (V),
0,0.115,,0.122167
0.5,0.115708,,
1,0.115625,,
1.5,0.116417,,
2,0.115167,,
2.5,0.115042,,
3,0.115042,,
3.5,0.115208,,
4,0.11525,,
4.5,0.11525,,
5,0.115417,,
5.5,0.116292,,
6,0.116125,,
6.5,0.117458,,
7,0.118333,,
7.5,0.119583,,
8,0.12025,,
8.5,0.120917,,
9,0.120458,,
9.5,0.120708,,
10,0.119958,,
10.5,0.121125,,
11,0.121583,,
11.5,0.122958,,
12,0.122917,,
12.5,0.121583,,
13,0.121208,,
13.5,0.120417,,
14,0.121583,,
14.5,0.121208,,
15,0.121875,,
15.5,0.121625,,
16,0.122125,,
16.5,0.122,,
17,0.122792,,
17.5,0.122458,,
18,0.122667,,
18.5,0.119625,,
19,0.119375,,
19.5,0.119542,,
20,0.122292,,
20.5,0.12175,,
21,0.121,,
21.5,0.120708,,
22,0.121833,,
22.5,0.122458,,
23,0.122083,,
23.5,0.122167,,
24,0.122125,,
24.5,0.122042,,
25,0.120583,,
25.5,0.119708,,
26,0.12,,
26.5,0.120583,,
27,0.121167,,
27.5,0.1215,,
28,0.120917,,
28.5,0.121,,
29,0.120625,,
29.5,0.121708,,
30,0.121917,,
30.5,0.121667,,
31,0.121667,,
31.5,0.120542,,
32,0.121,,
32.5,0.121083,,
33,0.122042,,
33.5,0.1225,,
34,0.12225,,
34.5,0.1225,,
35,0.121958,,
35.5,0.1235,,
36,0.123708,,
36.5,0.125333,,
37,0.126375,,
37.5,0.127792,,
38,0.128167,,
38.5,0.128375,,
39,0.129,,
39.5,0.130292,,
40,0.130458,,
40.5,0.131542,,
41,0.131125,,
41.5,0.131167,,
42,0.130583,,
42.5,0.131625,,
43,0.132542,,
43.5,0.133333,,
44,0.130708,,
44.5,0.129417,,
45,0.13,,
45.5,0.132958,,
46,0.134583,,
46.5,0.134083,,
47,0.133083,,
47.5,0.132833,,
48,0.133292,,
48.5,0.134792,,
49,0.136125,,
49.5,0.135625,,
50,0.134542,,
50.5,0.13375,,
51,0.134333,,
51.5,0.135833,,
52,0.136708,,
52.5,0.138,,
53,0.137875,,
53.5,0.138417,,
54,0.137792,,
54.5,0.139417,,
55,0.140583,,
55.5,0.142333,,
56,0.142333,,
56.5,0.14225,,
57,0.142958,,
57.5,0.144,,
58,0.145083,,
58.5,0.146292,,
59,0.149167,,
59.5,0.150458,,
60,0.14975,,
