i400sN1_1#018,,,
,,,
Time (s),Potential (V),,
0,-0.005375,,-0.004208
0.5,-0.005292,,
1,-0.005458,,
1.5,-0.00625,,
2,-0.005417,,
2.5,-0.004667,,
3,-0.005,,
3.5,-0.005083,,
4,-0.0055,,
4.5,-0.003875,,
5,-0.003625,,
5.5,-0.003375,,
6,-0.004708,,
6.5,-0.004292,,
7,-0.004542,,
7.5,-0.00375,,
8,-0.004708,,
8.5,-0.005792,,
9,-0.00675,,
9.5,-0.007167,,
10,-0.006292,,
10.5,-0.005167,,
11,-0.004333,,
11.5,-0.004667,,
12,-0.005458,,
12.5,-0.003583,,
13,-0.003292,,
13.5,-0.004458,,
14,-0.006458,,
14.5,-0.006042,,
15,-0.005208,,
15.5,-0.004875,,
16,-0.004792,,
16.5,-0.003958,,
17,-0.00325,,
17.5,-0.003667,,
18,-0.003833,,
18.5,-0.005167,,
19,-0.005417,,
19.5,-0.006625,,
20,-0.006917,,
20.5,-0.006333,,
21,-0.004917,,
21.5,-0.004125,,
22,-0.003792,,
22.5,-0.004667,,
23,-0.004458,,
23.5,-0.005042,,
24,-0.004917,,
24.5,-0.005417,,
25,-0.004958,,
25.5,-0.00375,,
26,-0.003,,
26.5,-0.002708,,
27,-0.003792,,
27.5,-0.004208,,
28,-0.004958,,
28.5,-0.0045,,
29,-0.005083,,
29.5,-0.004542,,
30,-0.004083,,
30.5,-0.003125,,
31,-0.004208,,
31.5,-0.004542,,
32,-0.006125,,
32.5,-0.005875,,
33,-0.005458,,
33.5,-0.004875,,
34,-0.004042,,
34.5,-0.003833,,
35,-0.003625,,
35.5,-0.002792,,
36,-0.003667,,
36.5,-0.002667,,
37,-0.003042,,
37.5,-0.003625,,
38,-0.003458,,
38.5,-0.004,,
39,-0.003542,,
39.5,-0.003917,,
40,-0.004042,,
40.5,-0.004583,,
41,-0.004417,,
41.5,-0.004292,,
42,-0.003583,,
42.5,-0.003417,,
43,-0.003042,,
43.5,-0.003417,,
44,-0.004333,,
44.5,-0.005542,,
45,-0.004167,,
45.5,-0.003625,,
46,-0.003667,,
46.5,-0.005292,,
47,-0.005708,,
47.5,-0.004625,,
48,-0.003542,,
48.5,-0.003042,,
49,-0.003375,,
49.5,-0.003667,,
50,-0.003333,,
50.5,-0.003,,
51,-0.002875,,
51.5,-0.003875,,
52,-0.00375,,
52.5,-0.00325,,
53,-0.002167,,
53.5,-0.002458,,
54,-0.003708,,
54.5,-0.004875,,
55,-0.004125,,
55.5,-0.005125,,
56,-0.004958,,
56.5,-0.005917,,
57,-0.003958,,
57.5,-0.003292,,
58,-0.003,,
58.5,-0.00225,,
59,-0.002833,,
59.5,-0.002833,,
60,-0.003375,,
